ISSUE_DATE;FLIGHT_DATE_LOC;PAX_TYPE;REVENUE_AMOUNT;ORIG_CITY_CODE;DEST_CITY_CODE;ROUTE_FLIGHT_TYPE;FFP_FLAG;SALE_TYPE
2021-12-09 00:00:00;2022-01-04 00:00:00;AD;350;MOW;SIP;ВВЛ;;OFFLINE
2021-11-29 00:00:00;2022-01-06 00:00:00;AD;350;OMS;MOW;ВВЛ;;ONLINE
2021-11-26 00:00:00;2022-01-03 00:00:00;AD;690;MOW;SKG;МВЛ;;ONLINE
2022-01-10 00:00:00;2022-01-20 00:00:00;AD;470;KEJ;FEG;МВЛ;;OFFLINE
2021-12-04 00:00:00;2022-01-08 00:00:00;AD;340;SVX;MOW;ВВЛ;;OFFLINE
2021-11-26 00:00:00;2022-01-05 00:00:00;AD;360;MOW;OVB;ВВЛ;FFP;ONLINE
2021-12-03 00:00:00;2022-01-04 00:00:00;AD;340;KUF;MOW;ВВЛ;FFP;ONLINE
2021-12-09 00:00:00;2022-01-10 00:00:00;AD;310;MOW;MQF;ВВЛ;;OFFLINE
2021-12-10 00:00:00;2022-01-04 00:00:00;AD;520;UUD;MOW;ВВЛ;FFP;ONLINE
2021-11-26 00:00:00;2022-01-19 00:00:00;AD;440;LBD;VOG;МВЛ;;OFFLINE
2021-12-08 00:00:00;2022-01-16 00:00:00;AD;490;NUX;MOW;ВВЛ;;OFFLINE
2021-12-09 00:00:00;2022-01-25 00:00:00;AD;400;IKT;HKT;МВЛ;FFP;ONLINE
2021-11-30 00:00:00;2022-01-22 00:00:00;AD;360;BOJ;MOW;МВЛ;;OFFLINE
2021-12-28 00:00:00;2022-01-09 00:00:00;AD;340;VOZ;MOW;ВВЛ;FFP;OFFLINE
2021-12-10 00:00:00;2022-01-14 00:00:00;CHD;930;DXB;OVB;МВЛ;;OFFLINE
2021-12-09 00:00:00;2022-01-30 00:00:00;AD;360;AER;MOW;ВВЛ;;OFFLINE
2021-12-03 00:00:00;2022-01-10 00:00:00;AD;370;KJA;MOW;ВВЛ;FFP;ONLINE
2021-12-09 00:00:00;2022-01-11 00:00:00;AD;300;MOW;CEK;ВВЛ;FFP;ONLINE
2021-12-05 00:00:00;2022-01-07 00:00:00;CHD;240;AER;MOW;ВВЛ;;ONLINE
2021-11-29 00:00:00;2022-01-10 00:00:00;AD;250;AAQ;MOW;ВВЛ;;OFFLINE
2021-11-29 00:00:00;2022-01-14 00:00:00;AD;230;MOW;RTW;ВВЛ;;ONLINE
2021-11-29 00:00:00;2022-01-08 00:00:00;CHD;170;KJA;OVB;ВВЛ;;ONLINE
2021-11-30 00:00:00;2022-01-18 00:00:00;AD;280;TOF;MOW;ВВЛ;FFP;ONLINE
2021-12-21 00:00:00;2022-01-12 00:00:00;AD;450;OVB;IKT;ВВЛ;FFP;OFFLINE
2021-12-23 00:00:00;2022-01-09 00:00:00;AD;470;KGD;MOW;ВВЛ;FFP;OFFLINE
2021-12-09 00:00:00;2022-01-08 00:00:00;AD;230;MOW;ULY;ВВЛ;;OFFLINE
2021-12-10 00:00:00;2022-01-16 00:00:00;AD;360;UUD;MOW;ВВЛ;FFP;OFFLINE
2021-12-09 00:00:00;2022-01-15 00:00:00;AD;440;LPK;MOW;ВВЛ;;ONLINE
2021-12-04 00:00:00;2022-01-07 00:00:00;CHD;180;MOW;KGD;ВВЛ;;ONLINE
2021-11-30 00:00:00;2022-01-07 00:00:00;AD;390;OVB;NUX;ВВЛ;FFP;ONLINE
2021-11-27 00:00:00;2022-01-01 00:00:00;AD;310;MOW;TOF;ВВЛ;FFP;ONLINE
2021-12-10 00:00:00;2022-01-15 00:00:00;AD;360;IKT;OVB;ВВЛ;FFP;ONLINE
2021-11-30 00:00:00;2022-01-06 00:00:00;AD;270;MOW;LED;ВВЛ;FFP;ONLINE
2021-12-27 00:00:00;2022-01-03 00:00:00;AD;610;IKT;AER;ВВЛ;FFP;OFFLINE
2021-11-27 00:00:00;2022-01-02 00:00:00;AD;300;SGC;OVB;ВВЛ;;ONLINE
2021-12-05 00:00:00;2022-01-13 00:00:00;AD;150;MOW;LED;ВВЛ;;ONLINE
2021-11-30 00:00:00;2022-01-05 00:00:00;AD;290;IKT;OVB;ВВЛ;;ONLINE
2021-11-23 00:00:00;2022-01-01 00:00:00;AD;440;MOW;EVN;МВЛ;;ONLINE
2021-12-10 00:00:00;2022-01-03 00:00:00;AD;370;KJA;MOW;ВВЛ;;ONLINE
2021-12-09 00:00:00;2022-01-09 00:00:00;AD;570;OVB;DXB;МВЛ;FFP;ONLINE
2022-01-14 00:00:00;2022-01-18 00:00:00;AD;560;OVB;YKS;ВВЛ;;OFFLINE
2021-11-23 00:00:00;2022-01-18 00:00:00;AD;260;KGD;MOW;ВВЛ;;ONLINE
2021-12-05 00:00:00;2022-01-01 00:00:00;AD;220;MOW;KUF;ВВЛ;FFP;ONLINE
2021-11-30 00:00:00;2022-01-03 00:00:00;AD;310;MOW;MQF;ВВЛ;;ONLINE
2021-12-01 00:00:00;2022-01-24 00:00:00;AD;400;AYT;MOW;МВЛ;FFP;OFFLINE
2021-12-12 00:00:00;2022-01-04 00:00:00;CHD;680;HRG;MOW;МВЛ;;OFFLINE
2022-01-07 00:00:00;2022-01-08 00:00:00;AD;1820;OVB;KHV;ВВЛ;;OFFLINE
2021-12-09 00:00:00;2022-01-08 00:00:00;CHD;270;MOW;KUF;ВВЛ;;ONLINE
2021-12-05 00:00:00;2022-01-04 00:00:00;AD;410;OMS;MOW;ВВЛ;FFP;ONLINE
2021-12-05 00:00:00;2022-01-01 00:00:00;AD;390;MOW;AER;ВВЛ;;ONLINE
2022-01-02 00:00:00;2022-01-17 00:00:00;AD;630;OVB;UUS;ВВЛ;;OFFLINE
2021-11-24 00:00:00;2022-01-06 00:00:00;AD;550;MOW;BQS;ВВЛ;;OFFLINE
2021-11-27 00:00:00;2022-01-08 00:00:00;AD;840;AER;MOW;ВВЛ;FFP;ONLINE
2021-12-05 00:00:00;2022-01-01 00:00:00;AD;150;LED;MOW;ВВЛ;;OFFLINE
2021-11-30 00:00:00;2022-01-12 00:00:00;AD;110;LED;MOW;ВВЛ;FFP;ONLINE
2021-11-30 00:00:00;2022-01-01 00:00:00;AD;140;MOW;SVX;ВВЛ;FFP;ONLINE
2021-12-28 00:00:00;2022-01-09 00:00:00;CHD;370;NUX;OVB;ВВЛ;;OFFLINE
2021-11-30 00:00:00;2022-01-07 00:00:00;AD;370;AAQ;MOW;ВВЛ;;ONLINE
2021-12-07 00:00:00;2022-01-04 00:00:00;AD;100;MOW;LED;ВВЛ;;ONLINE
2021-11-30 00:00:00;2022-01-11 00:00:00;AD;260;UFA;MOW;ВВЛ;FFP;ONLINE
2021-12-01 00:00:00;2022-01-05 00:00:00;AD;640;OVB;PKC;ВВЛ;;ONLINE
2021-12-05 00:00:00;2022-01-08 00:00:00;AD;340;OVB;SGC;ВВЛ;FFP;ONLINE
2021-12-04 00:00:00;2022-01-09 00:00:00;AD;720;VAR;MOW;МВЛ;FFP;ONLINE
2021-12-05 00:00:00;2022-01-01 00:00:00;AD;200;MOW;LED;ВВЛ;FFP;ONLINE
2021-12-05 00:00:00;2022-01-04 00:00:00;AD;230;KUF;MOW;ВВЛ;FFP;ONLINE
2021-12-11 00:00:00;2022-01-06 00:00:00;AD;360;OVB;IJK;ВВЛ;FFP;ONLINE
2021-12-11 00:00:00;2022-01-11 00:00:00;AD;150;MOW;OGZ;ВВЛ;;ONLINE
2021-12-12 00:00:00;2022-01-07 00:00:00;AD;460;MJZ;OVB;ВВЛ;;OFFLINE
2021-12-29 00:00:00;2022-01-10 00:00:00;AD;560;OVB;UUS;ВВЛ;;OFFLINE
2021-12-05 00:00:00;2022-01-03 00:00:00;AD;400;MOW;AAQ;ВВЛ;FFP;ONLINE
2021-12-10 00:00:00;2022-01-01 00:00:00;AD;250;MOW;MMK;ВВЛ;;ONLINE
2021-12-05 00:00:00;2022-01-08 00:00:00;INF;0;MOW;UFA;ВВЛ;;ONLINE
2021-12-14 00:00:00;2022-01-10 00:00:00;AD;120;MOW;KGD;ВВЛ;FFP;ONLINE
2021-12-01 00:00:00;2022-01-30 00:00:00;AD;540;OVB;PKC;ВВЛ;;ONLINE
2021-12-01 00:00:00;2022-01-04 00:00:00;AD;220;OVB;KJA;ВВЛ;;OFFLINE
2021-12-01 00:00:00;2022-01-15 00:00:00;AD;200;SVX;MOW;ВВЛ;;OFFLINE
2021-12-05 00:00:00;2022-01-15 00:00:00;AD;310;AER;OVB;ВВЛ;FFP;ONLINE
2022-01-14 00:00:00;2022-01-21 00:00:00;AD;260;MOW;KUF;ВВЛ;FFP;OFFLINE
2021-12-10 00:00:00;2022-01-01 00:00:00;AD;370;MOW;KJA;ВВЛ;FFP;ONLINE
2021-11-28 00:00:00;2022-01-09 00:00:00;CHD;390;GDZ;MOW;ВВЛ;;OFFLINE
2021-12-10 00:00:00;2022-01-13 00:00:00;AD;300;MOW;KJA;ВВЛ;;OFFLINE
2021-11-28 00:00:00;2022-01-06 00:00:00;AD;330;MOW;OVB;ВВЛ;FFP;ONLINE
2021-11-28 00:00:00;2022-01-07 00:00:00;AD;360;AAQ;MOW;ВВЛ;;ONLINE
2021-12-01 00:00:00;2022-01-02 00:00:00;AD;250;SIP;MOW;ВВЛ;;OFFLINE
2021-12-12 00:00:00;2022-01-11 00:00:00;AD;260;ROV;MOW;ВВЛ;FFP;ONLINE
2021-12-06 00:00:00;2022-01-15 00:00:00;AD;1030;BKK;KHV;МВЛ;FFP;OFFLINE
2021-12-15 00:00:00;2022-01-12 00:00:00;AD;370;MMK;MOW;ВВЛ;;OFFLINE
2021-12-12 00:00:00;2022-01-06 00:00:00;CHD;180;MOW;AER;ВВЛ;;ONLINE
2021-11-29 00:00:00;2022-01-08 00:00:00;AD;220;MOW;LED;ВВЛ;FFP;ONLINE
2021-12-11 00:00:00;2022-01-11 00:00:00;AD;220;SIP;MOW;ВВЛ;;OFFLINE
2021-11-24 00:00:00;2022-01-03 00:00:00;INF;40;KIV;MOW;МВЛ;;OFFLINE
2021-11-28 00:00:00;2022-01-16 00:00:00;AD;320;AER;MOW;ВВЛ;FFP;ONLINE
2021-12-10 00:00:00;2022-01-09 00:00:00;AD;330;KZN;MOW;ВВЛ;FFP;ONLINE
2022-01-26 00:00:00;2022-01-29 00:00:00;AD;310;MOW;OGZ;ВВЛ;;OFFLINE
2021-11-26 00:00:00;2022-01-16 00:00:00;AD;370;PAR;MOW;МВЛ;FFP;ONLINE
2021-12-04 00:00:00;2022-01-03 00:00:00;CHD;430;MOW;KIV;МВЛ;;ONLINE
2021-12-11 00:00:00;2022-01-04 00:00:00;AD;360;BTK;MOW;ВВЛ;FFP;ONLINE
2021-12-12 00:00:00;2022-01-24 00:00:00;AD;190;OVB;ABA;ВВЛ;FFP;ONLINE
2021-12-06 00:00:00;2022-01-14 00:00:00;AD;490;MOW;BQS;ВВЛ;FFP;ONLINE
2021-12-09 00:00:00;2022-01-05 00:00:00;AD;530;MOW;NOZ;ВВЛ;;OFFLINE
2021-12-06 00:00:00;2022-01-02 00:00:00;CHD;370;KUF;OVB;ВВЛ;;ONLINE
2021-12-17 00:00:00;2022-01-11 00:00:00;AD;260;KGD;MOW;ВВЛ;;ONLINE
2021-12-12 00:00:00;2022-01-04 00:00:00;AD;300;KVK;MOW;ВВЛ;;ONLINE
2021-12-01 00:00:00;2022-01-27 00:00:00;AD;260;AER;MOW;ВВЛ;FFP;ONLINE
2021-12-01 00:00:00;2022-01-09 00:00:00;CHD;270;MOW;CEK;ВВЛ;;ONLINE
2021-12-24 00:00:00;2022-01-17 00:00:00;AD;320;ROV;MOW;ВВЛ;;OFFLINE
2021-12-07 00:00:00;2022-01-13 00:00:00;CHD;820;OVB;HKT;МВЛ;FFP;OFFLINE
2021-12-06 00:00:00;2022-01-22 00:00:00;AD;260;AER;MOW;ВВЛ;;ONLINE
2021-12-06 00:00:00;2022-01-07 00:00:00;CHD;400;SIP;MOW;ВВЛ;;OFFLINE
2021-11-29 00:00:00;2022-01-31 00:00:00;AD;390;OVB;IKT;ВВЛ;;ONLINE
2022-01-13 00:00:00;2022-01-17 00:00:00;AD;340;OVB;IJK;ВВЛ;;OFFLINE
2021-12-13 00:00:00;2022-01-09 00:00:00;AD;290;MOW;RTW;ВВЛ;FFP;ONLINE
2021-12-11 00:00:00;2022-01-10 00:00:00;AD;270;MOW;KUF;ВВЛ;FFP;ONLINE
2021-12-12 00:00:00;2022-01-04 00:00:00;AD;230;KUF;MOW;ВВЛ;;OFFLINE
2021-12-12 00:00:00;2022-01-10 00:00:00;AD;250;MOW;AER;ВВЛ;FFP;ONLINE
2021-12-02 00:00:00;2022-01-06 00:00:00;AD;360;BTK;OVB;ВВЛ;;ONLINE
2021-12-06 00:00:00;2022-01-04 00:00:00;AD;180;MOW;LED;ВВЛ;;OFFLINE
2021-12-12 00:00:00;2022-01-10 00:00:00;CHD;220;KUF;MOW;ВВЛ;FFP;ONLINE
2021-12-06 00:00:00;2022-01-15 00:00:00;AD;250;MMK;MOW;ВВЛ;;OFFLINE
2021-11-29 00:00:00;2022-01-01 00:00:00;AD;420;OMS;MOW;ВВЛ;FFP;ONLINE
2021-12-12 00:00:00;2022-01-05 00:00:00;CHD;270;PEE;MOW;ВВЛ;;ONLINE
2021-12-02 00:00:00;2022-01-12 00:00:00;AD;320;KUF;BAK;МВЛ;;ONLINE
2021-12-16 00:00:00;2022-01-17 00:00:00;AD;460;IKT;MOW;ВВЛ;;OFFLINE
2021-12-02 00:00:00;2022-01-11 00:00:00;CHD;390;AAQ;OVB;ВВЛ;;ONLINE
2021-11-25 00:00:00;2022-01-14 00:00:00;INF;50;RTW;MOW;ВВЛ;;ONLINE
2021-11-25 00:00:00;2022-01-02 00:00:00;AD;480;LED;IKT;ВВЛ;;ONLINE
2021-12-12 00:00:00;2022-01-05 00:00:00;AD;480;OVB;SIP;ВВЛ;FFP;ONLINE
2021-12-07 00:00:00;2022-01-14 00:00:00;AD;450;MOW;YKS;ВВЛ;FFP;ONLINE
2021-11-25 00:00:00;2022-01-20 00:00:00;AD;300;UUS;OVB;ВВЛ;;ONLINE
2021-12-03 00:00:00;2022-01-29 00:00:00;AD;460;NER;OVB;ВВЛ;FFP;OFFLINE
2021-12-02 00:00:00;2022-01-06 00:00:00;AD;370;MOW;MMK;ВВЛ;;OFFLINE
2021-12-02 00:00:00;2022-01-18 00:00:00;AD;560;IKT;LED;ВВЛ;FFP;ONLINE
2021-12-12 00:00:00;2022-01-04 00:00:00;AD;960;MOW;AER;ВВЛ;;ONLINE
2021-12-02 00:00:00;2022-01-08 00:00:00;AD;450;OGZ;MOW;ВВЛ;FFP;ONLINE
2021-12-07 00:00:00;2022-01-04 00:00:00;AD;240;MOW;ULY;ВВЛ;FFP;ONLINE
2021-12-02 00:00:00;2022-01-08 00:00:00;AD;300;MOW;SVX;ВВЛ;;OFFLINE
2021-11-29 00:00:00;2022-01-16 00:00:00;AD;320;AER;MOW;ВВЛ;FFP;ONLINE
2021-12-13 00:00:00;2022-01-12 00:00:00;AD;420;OVB;UUD;ВВЛ;;ONLINE
2021-11-25 00:00:00;2022-01-15 00:00:00;AD;170;MOW;UFA;ВВЛ;FFP;OFFLINE
2021-12-02 00:00:00;2022-01-13 00:00:00;AD;330;MOW;CGN;МВЛ;;ONLINE
2021-11-25 00:00:00;2022-01-11 00:00:00;AD;220;MOW;ROV;ВВЛ;;OFFLINE
2021-12-02 00:00:00;2022-01-03 00:00:00;AD;530;NOZ;MOW;ВВЛ;FFP;ONLINE
2021-12-07 00:00:00;2022-01-24 00:00:00;AD;310;BOJ;MOW;МВЛ;FFP;ONLINE
2021-12-13 00:00:00;2022-01-03 00:00:00;AD;280;KRR;MOW;ВВЛ;;ONLINE
2021-12-13 00:00:00;2022-01-12 00:00:00;AD;260;KGD;MOW;ВВЛ;;ONLINE
2022-01-19 00:00:00;2022-01-25 00:00:00;AD;680;OVB;NER;ВВЛ;;OFFLINE
2021-12-13 00:00:00;2022-01-19 00:00:00;AD;170;SVX;MOW;ВВЛ;;ONLINE
2021-12-07 00:00:00;2022-01-02 00:00:00;CHD;290;SIP;MOW;ВВЛ;;ONLINE
2021-12-13 00:00:00;2022-01-20 00:00:00;AD;230;MCX;MOW;ВВЛ;;ONLINE
2021-12-10 00:00:00;2022-01-13 00:00:00;AD;200;MOW;EGO;ВВЛ;;OFFLINE
2021-12-13 00:00:00;2022-01-16 00:00:00;AD;220;SIP;MOW;ВВЛ;FFP;ONLINE
2021-12-07 00:00:00;2022-01-08 00:00:00;CHD;100;GOJ;MOW;ВВЛ;FFP;OFFLINE
2021-12-07 00:00:00;2022-01-04 00:00:00;AD;500;IKT;OVB;ВВЛ;FFP;ONLINE
2021-12-14 00:00:00;2022-01-02 00:00:00;AD;260;IKT;OVB;ВВЛ;FFP;ONLINE
2021-12-13 00:00:00;2022-01-09 00:00:00;AD;380;NJC;MOW;ВВЛ;;ONLINE
2021-11-26 00:00:00;2022-01-18 00:00:00;AD;240;MOW;KEJ;ВВЛ;FFP;ONLINE
2021-12-02 00:00:00;2022-01-01 00:00:00;AD;300;MOW;CEK;ВВЛ;;ONLINE
2021-12-13 00:00:00;2022-01-03 00:00:00;CHD;370;MOW;GDZ;ВВЛ;;ONLINE
2021-12-01 00:00:00;2022-01-01 00:00:00;AD;300;LED;MOW;ВВЛ;FFP;ONLINE
2021-12-28 00:00:00;2022-01-02 00:00:00;AD;550;OVB;TLK;ВВЛ;;OFFLINE
2021-12-06 00:00:00;2022-01-03 00:00:00;CHD;760;MOW;DXB;МВЛ;;OFFLINE
2021-11-30 00:00:00;2022-01-16 00:00:00;CHD;250;IKT;MOW;ВВЛ;;ONLINE
2021-11-30 00:00:00;2022-01-04 00:00:00;CHD;200;KUF;MOW;ВВЛ;;ONLINE
2021-12-13 00:00:00;2022-01-14 00:00:00;CHD;300;MQF;MOW;ВВЛ;;ONLINE
2021-12-13 00:00:00;2022-01-12 00:00:00;AD;230;SVX;MOW;ВВЛ;;ONLINE
2021-12-08 00:00:00;2022-01-04 00:00:00;AD;230;AAQ;MOW;ВВЛ;FFP;ONLINE
2021-12-14 00:00:00;2022-01-14 00:00:00;AD;380;MOW;VIE;МВЛ;FFP;ONLINE
2022-01-14 00:00:00;2022-01-18 00:00:00;AD;520;MOW;IKT;ВВЛ;;OFFLINE
2021-12-03 00:00:00;2022-01-12 00:00:00;AD;480;MOW;NJC;ВВЛ;;OFFLINE
2021-12-08 00:00:00;2022-01-06 00:00:00;AD;240;LED;MOW;ВВЛ;;ONLINE
2021-12-01 00:00:00;2022-01-12 00:00:00;AD;320;KGD;MOW;ВВЛ;;OFFLINE
2021-12-30 00:00:00;2022-01-16 00:00:00;AD;420;SSH;MOW;МВЛ;;OFFLINE
2021-11-30 00:00:00;2022-01-03 00:00:00;CHD;370;KRR;OVB;ВВЛ;;OFFLINE
2021-12-01 00:00:00;2022-01-01 00:00:00;AD;370;MOW;BAX;ВВЛ;FFP;ONLINE
2021-11-30 00:00:00;2022-01-08 00:00:00;AD;300;MOW;PEZ;ВВЛ;;ONLINE
2021-12-01 00:00:00;2022-01-05 00:00:00;AD;400;YKS;OVB;ВВЛ;FFP;ONLINE
2021-12-04 00:00:00;2022-01-11 00:00:00;AD;440;MOW;KEJ;ВВЛ;;OFFLINE
2021-12-14 00:00:00;2022-01-23 00:00:00;AD;250;MOW;OVB;ВВЛ;FFP;ONLINE
2021-12-14 00:00:00;2022-01-13 00:00:00;AD;410;BQS;MOW;ВВЛ;;ONLINE
2021-12-14 00:00:00;2022-01-12 00:00:00;AD;140;MOW;AAQ;ВВЛ;FFP;ONLINE
2021-12-14 00:00:00;2022-01-02 00:00:00;AD;500;OVB;HTA;ВВЛ;FFP;ONLINE
2021-12-24 00:00:00;2022-01-02 00:00:00;AD;2000;IKT;MOW;ВВЛ;;OFFLINE
2021-12-01 00:00:00;2022-01-06 00:00:00;AD;380;OVB;VOG;ВВЛ;FFP;ONLINE
2021-12-14 00:00:00;2022-01-08 00:00:00;CHD;290;IKT;AER;ВВЛ;;ONLINE
2021-12-08 00:00:00;2022-01-05 00:00:00;CHD;460;TAS;OVB;МВЛ;;OFFLINE
2021-12-04 00:00:00;2022-01-01 00:00:00;AD;120;LED;MOW;ВВЛ;;ONLINE
2021-12-14 00:00:00;2022-01-16 00:00:00;AD;360;YKS;OVB;ВВЛ;FFP;ONLINE
2021-11-27 00:00:00;2022-01-06 00:00:00;AD;490;AER;MOW;ВВЛ;FFP;OFFLINE
2021-12-14 00:00:00;2022-01-08 00:00:00;CHD;190;IWA;AER;ВВЛ;;ONLINE
2021-12-03 00:00:00;2022-01-08 00:00:00;CHD;220;MOW;STW;ВВЛ;;OFFLINE
2022-01-20 00:00:00;2022-01-21 00:00:00;AD;810;OVB;GDX;ВВЛ;;OFFLINE
2021-12-08 00:00:00;2022-01-31 00:00:00;AD;330;AER;OVB;ВВЛ;FFP;ONLINE
2021-12-08 00:00:00;2022-01-22 00:00:00;AD;130;MOW;LED;ВВЛ;;ONLINE
2021-12-04 00:00:00;2022-01-07 00:00:00;INF;0;MOW;AER;ВВЛ;;ONLINE
2021-12-08 00:00:00;2022-01-06 00:00:00;AD;230;MOW;GDZ;ВВЛ;;ONLINE
2021-12-03 00:00:00;2022-01-03 00:00:00;AD;340;PEE;MOW;ВВЛ;FFP;ONLINE
2021-12-08 00:00:00;2022-01-01 00:00:00;AD;500;MOW;AER;ВВЛ;FFP;ONLINE
2021-12-03 00:00:00;2022-01-01 00:00:00;AD;220;MOW;KUF;ВВЛ;FFP;ONLINE
2021-12-05 00:00:00;2022-01-18 00:00:00;AD;340;OVB;SVX;ВВЛ;FFP;ONLINE
2021-11-26 00:00:00;2022-01-08 00:00:00;AD;250;MOW;PEE;ВВЛ;FFP;ONLINE
2022-01-02 00:00:00;2022-01-04 00:00:00;AD;550;OVB;HTA;ВВЛ;;OFFLINE
2021-12-14 00:00:00;2022-01-15 00:00:00;AD;310;OVB;VVO;ВВЛ;FFP;OFFLINE
2021-12-04 00:00:00;2022-01-03 00:00:00;CHD;170;MOW;LED;ВВЛ;;ONLINE
2021-12-13 00:00:00;2022-01-10 00:00:00;AD;560;OVB;UUS;ВВЛ;FFP;OFFLINE
2021-12-08 00:00:00;2022-01-08 00:00:00;AD;300;KZN;MOW;ВВЛ;;ONLINE
2021-12-09 00:00:00;2022-01-15 00:00:00;AD;550;VVO;OVB;ВВЛ;FFP;ONLINE
2021-12-14 00:00:00;2022-01-07 00:00:00;AD;420;MOW;AYT;МВЛ;FFP;ONLINE
2021-12-04 00:00:00;2022-01-10 00:00:00;AD;280;MOW;SIP;ВВЛ;;OFFLINE
2021-12-28 00:00:00;2022-01-07 00:00:00;AD;260;GOJ;MOW;ВВЛ;;OFFLINE
2021-12-14 00:00:00;2022-01-05 00:00:00;AD;280;MOW;ROV;ВВЛ;;ONLINE
2021-12-15 00:00:00;2022-01-23 00:00:00;AD;330;PKC;VVO;ВВЛ;FFP;ONLINE
2021-11-27 00:00:00;2022-01-10 00:00:00;AD;330;KRR;MOW;ВВЛ;FFP;ONLINE
2021-12-04 00:00:00;2022-01-04 00:00:00;AD;330;OVB;KZN;ВВЛ;;OFFLINE
2021-12-09 00:00:00;2022-01-14 00:00:00;AD;360;UUD;MOW;ВВЛ;FFP;ONLINE
2021-12-15 00:00:00;2022-01-14 00:00:00;AD;150;MOW;AER;ВВЛ;FFP;ONLINE
2021-12-15 00:00:00;2022-01-04 00:00:00;AD;440;MOW;BAX;ВВЛ;FFP;ONLINE
2021-12-15 00:00:00;2022-01-09 00:00:00;AD;670;MMK;MOW;ВВЛ;;ONLINE
