Region_id;Country_id;Item_id;Sales Channel;Order ID;Pay Date;Units Sold;Unit Price;Unit Cost
7;64;11;2;94271;24.03.2021;8598;152.58;97.44
6;178;4;2;59680;13.03.2021;5852;205.70;117.11
7;134;11;1;16120;10.03.2021;1950;152.58;97.44
4;37;1;2;88439;12.03.2021;1741;668.27;502.54
1;21;5;2;48518;12.03.2021;7103;437.20;263.33
7;144;9;1;80268;16.03.2021;1949;81.73;56.67
5;78;8;2;14631;18.03.2021;7220;651.21;524.96
5;123;11;2;94581;03.03.2021;5890;152.58;97.44
3;13;6;1;30122;01.03.2021;7965;9.33;6.92
7;32;3;2;33291;24.03.2021;5479;421.89;364.69
3;165;12;2;53155;19.03.2021;7501;109.28;35.84
7;153;2;2;90813;29.03.2021;5130;255.28;159.42
7;119;5;1;64394;24.03.2021;6494;437.20;263.33
4;175;10;1;34060;16.03.2021;1756;47.45;31.79
4;54;5;2;67003;20.03.2021;8108;437.20;263.33
7;24;8;2;12447;10.03.2021;4772;651.21;524.96
5;160;7;1;86647;19.03.2021;8005;154.06;90.93
7;20;6;2;17888;12.03.2021;6092;9.33;6.92
2;126;11;1;81489;06.03.2021;4351;152.58;97.44
1;79;5;1;64797;20.03.2021;130;437.20;263.33
5;78;12;2;32193;30.03.2021;7809;109.28;35.84
3;43;9;2;10088;18.03.2021;3800;81.73;56.67
7;112;10;2;31924;23.03.2021;1544;47.45;31.79
4;67;1;2;93175;19.03.2021;6516;668.27;502.54
1;97;11;1;16346;16.03.2021;1220;152.58;97.44
7;24;5;1;35972;27.03.2021;192;437.20;263.33
4;49;12;1;33622;15.03.2021;5000;109.28;35.84
1;97;10;1;32893;18.03.2021;9242;47.45;31.79
4;19;1;1;64417;01.03.2021;3548;668.27;502.54
4;53;6;2;30853;10.03.2021;580;9.33;6.92
7;163;8;1;21894;21.03.2021;30;651.21;524.96
6;178;7;1;89264;02.03.2021;3621;154.06;90.93
4;9;3;1;21718;26.03.2021;108;421.89;364.69
2;168;4;2;20042;13.03.2021;278;205.70;117.11
7;184;6;1;22054;24.03.2021;1947;9.33;6.92
5;109;2;2;17601;16.03.2021;4965;255.28;159.42
4;106;9;2;93564;09.03.2021;6211;81.73;56.67
1;25;12;2;28854;26.03.2021;4597;109.28;35.84
7;88;8;1;59413;11.03.2021;6064;651.21;524.96
4;129;6;2;23215;16.03.2021;8587;9.33;6.92
5;1;5;1;35265;14.03.2021;7170;437.20;263.33
7;119;3;2;82599;28.03.2021;8850;421.89;364.69
2;81;4;1;69284;21.03.2021;7693;205.70;117.11
7;32;5;1;41419;04.03.2021;9799;437.20;263.33
7;112;7;1;52135;07.03.2021;8298;154.06;90.93
7;145;1;2;26591;19.03.2021;8349;668.27;502.54
7;166;9;2;76980;06.03.2021;2147;81.73;56.67
4;57;4;2;97527;06.03.2021;3914;205.70;117.11
7;163;8;1;79485;13.03.2021;4906;651.21;524.96
4;148;8;1;66142;23.03.2021;8408;651.21;524.96
7;17;4;1;17814;19.03.2021;4738;205.70;117.11
7;103;5;1;36850;18.03.2021;6245;437.20;263.33
7;50;9;2;52629;18.03.2021;2308;81.73;56.67
1;172;10;2;46564;17.03.2021;4338;47.45;31.79
1;84;12;1;97097;23.03.2021;779;109.28;35.84
4;148;1;2;64700;29.03.2021;2103;668.27;502.54
7;88;5;2;86879;14.03.2021;5816;437.20;263.33
5;78;8;1;83171;06.03.2021;1453;651.21;524.96
4;54;10;1;70142;09.03.2021;5582;47.45;31.79
7;88;12;2;26391;07.03.2021;6802;109.28;35.84
4;100;5;1;27548;06.03.2021;742;437.20;263.33
1;98;5;2;21274;25.03.2021;5064;437.20;263.33
2;101;12;2;52262;03.03.2021;4460;109.28;35.84
1;155;1;2;37235;01.03.2021;5653;668.27;502.54
1;85;2;1;79947;16.03.2021;2399;255.28;159.42
5;78;7;2;66186;25.03.2021;484;154.06;90.93
5;150;8;1;68769;11.03.2021;2725;651.21;524.96
7;145;1;2;32544;21.03.2021;3970;668.27;502.54
1;162;11;2;89390;10.03.2021;6100;152.58;97.44
2;101;5;2;63220;06.03.2021;3026;437.20;263.33
3;137;5;2;54976;13.03.2021;5689;437.20;263.33
4;132;10;2;37630;09.03.2021;7065;47.45;31.79
2;173;11;2;81189;09.03.2021;7157;152.58;97.44
7;47;10;1;37688;07.03.2021;8001;47.45;31.79
3;36;5;2;36195;20.03.2021;8666;437.20;263.33
4;22;1;2;77808;26.03.2021;250;668.27;502.54
1;111;6;2;80657;04.03.2021;882;9.33;6.92
2;149;1;2;14903;16.03.2021;724;668.27;502.54
4;108;11;2;37739;16.03.2021;6968;152.58;97.44
7;96;4;2;88388;01.03.2021;8838;205.70;117.11
7;99;7;2;23105;19.03.2021;2588;154.06;90.93
1;98;11;2;20176;08.03.2021;6505;152.58;97.44
3;117;5;1;84919;30.03.2021;5907;437.20;263.33
4;57;3;1;94683;28.03.2021;8141;421.89;364.69
3;16;6;1;23847;08.03.2021;7588;9.33;6.92
4;108;3;1;78821;14.03.2021;658;421.89;364.69
3;6;8;2;23050;06.03.2021;795;651.21;524.96
4;73;2;2;32006;06.03.2021;3472;255.28;159.42
7;63;6;1;18194;01.03.2021;1193;9.33;6.92
4;133;10;2;36151;24.03.2021;8495;47.45;31.79
3;117;10;2;57443;12.03.2021;6946;47.45;31.79
5;183;10;1;15670;07.03.2021;143;47.45;31.79
7;102;3;2;31460;11.03.2021;8717;421.89;364.69
3;33;7;1;97477;19.03.2021;5329;154.06;90.93
5;170;11;2;33411;27.03.2021;9671;152.58;97.44
4;108;7;2;70986;30.03.2021;3467;154.06;90.93
1;161;7;2;88958;11.03.2021;5472;154.06;90.93
5;10;10;1;18112;01.03.2021;6472;47.45;31.79
7;118;7;1;66265;23.03.2021;4284;154.06;90.93
4;9;9;1;43268;18.03.2021;8757;81.73;56.67
1;98;11;1;35998;13.03.2021;6770;152.58;97.44
3;117;10;1;93368;12.03.2021;7236;47.45;31.79
7;64;1;1;91320;03.03.2021;6096;668.27;502.54
5;141;10;2;47827;15.03.2021;1324;47.45;31.79
1;146;7;1;77895;01.03.2021;7925;154.06;90.93
4;86;3;2;78559;01.03.2021;2934;421.89;364.69
4;148;4;1;43887;09.03.2021;421;205.70;117.11
7;20;8;2;19977;25.03.2021;6482;651.21;524.96
3;62;2;1;59960;16.03.2021;4248;255.28;159.42
7;144;2;2;88996;06.03.2021;8879;255.28;159.42
4;73;11;1;39278;27.03.2021;2570;152.58;97.44
1;21;8;2;75030;29.03.2021;9542;651.21;524.96
2;173;2;1;97506;22.03.2021;1051;255.28;159.42
4;105;9;2;59992;08.03.2021;384;81.73;56.67
7;142;2;1;12807;03.03.2021;7856;255.28;159.42
7;5;4;2;58298;09.03.2021;5818;205.70;117.11
3;169;1;1;35845;03.03.2021;3648;668.27;502.54
4;175;8;1;16860;06.03.2021;2759;651.21;524.96
4;35;10;1;79785;13.03.2021;1592;47.45;31.79
1;69;1;2;85093;13.03.2021;622;668.27;502.54
1;21;5;2;80290;24.03.2021;7352;437.20;263.33
4;175;12;1;74912;05.03.2021;1319;109.28;35.84
5;45;12;2;85525;16.03.2021;9091;109.28;35.84
4;175;7;2;90730;11.03.2021;9265;154.06;90.93
4;132;1;2;76154;16.03.2021;7473;668.27;502.54
7;119;12;1;79460;18.03.2021;1375;109.28;35.84
7;112;12;2;55341;12.03.2021;5664;109.28;35.84
6;27;7;1;10519;05.03.2021;7062;154.06;90.93
4;105;8;2;48749;26.03.2021;9326;651.21;524.96
7;163;12;2;55818;13.03.2021;8241;109.28;35.84
7;28;4;1;14543;23.03.2021;6624;205.70;117.11
4;139;11;1;49773;26.03.2021;9324;152.58;97.44
4;15;1;1;23387;22.03.2021;8222;668.27;502.54
1;111;10;1;29297;11.03.2021;7228;47.45;31.79
5;45;4;2;78445;20.03.2021;7284;205.70;117.11
7;63;5;2;53805;09.03.2021;1364;437.20;263.33
4;143;1;1;25381;06.03.2021;9474;668.27;502.54
7;110;3;2;25210;23.03.2021;3649;421.89;364.69
7;17;11;2;92360;12.03.2021;2956;152.58;97.44
7;96;3;1;47928;22.03.2021;8495;421.89;364.69
4;86;3;2;80044;15.03.2021;8394;421.89;364.69
4;159;9;2;68870;15.03.2021;2816;81.73;56.67
3;43;9;1;81599;18.03.2021;8953;81.73;56.67
2;173;2;2;57453;05.03.2021;6028;255.28;159.42
4;106;9;1;32688;08.03.2021;296;81.73;56.67
6;178;9;2;95589;06.03.2021;43;81.73;56.67
4;54;1;2;71475;22.03.2021;587;668.27;502.54
7;47;2;2;17693;11.03.2021;9276;255.28;159.42
1;18;10;1;88625;03.03.2021;491;47.45;31.79
4;56;9;2;40680;20.03.2021;641;81.73;56.67
4;53;5;2;87301;19.03.2021;3171;437.20;263.33
4;115;9;2;43962;25.03.2021;3553;81.73;56.67
4;181;11;1;93168;08.03.2021;4292;152.58;97.44
4;37;11;1;19454;19.03.2021;9924;152.58;97.44
2;149;7;1;64389;15.03.2021;2017;154.06;90.93
6;27;2;2;71571;06.03.2021;4169;255.28;159.42
4;75;9;2;71629;23.03.2021;7011;81.73;56.67
7;145;3;2;57225;21.03.2021;3203;421.89;364.69
7;20;8;1;28052;26.03.2021;2438;651.21;524.96
4;82;9;1;35832;21.03.2021;6439;81.73;56.67
1;18;7;2;49322;18.03.2021;3961;154.06;90.93
4;86;10;2;89306;14.03.2021;5791;47.45;31.79
7;103;1;1;93602;06.03.2021;9745;668.27;502.54
4;106;8;2;52059;04.03.2021;5673;651.21;524.96
7;88;7;2;51558;06.03.2021;455;154.06;90.93
4;19;6;1;51008;02.03.2021;3001;9.33;6.92
7;112;5;2;16352;12.03.2021;9253;437.20;263.33
1;85;12;1;55564;26.03.2021;7186;109.28;35.84
1;172;12;1;13649;10.03.2021;1804;109.28;35.84
1;21;12;2;57643;25.03.2021;144;109.28;35.84
1;155;7;2;91614;21.03.2021;6273;154.06;90.93
7;29;11;1;71659;05.03.2021;6289;152.58;97.44
4;115;11;1;50910;30.03.2021;3323;152.58;97.44
2;8;3;1;44526;10.03.2021;2535;421.89;364.69
1;85;5;1;74701;27.03.2021;6117;437.20;263.33
7;41;10;1;35657;24.03.2021;8295;47.45;31.79
1;182;11;2;98651;24.03.2021;322;152.58;97.44
4;105;10;2;36968;12.03.2021;5484;47.45;31.79
1;146;4;1;80925;20.03.2021;4099;205.70;117.11
3;33;5;1;62871;23.03.2021;8516;437.20;263.33
3;117;10;2;92186;09.03.2021;8114;47.45;31.79
2;113;4;1;60281;23.03.2021;4305;205.70;117.11
3;125;5;1;45598;05.03.2021;5531;437.20;263.33
3;117;12;1;88612;18.03.2021;2265;109.28;35.84
4;15;7;1;56826;29.03.2021;2013;154.06;90.93
7;167;6;2;49778;20.03.2021;4310;9.33;6.92
1;152;12;2;84034;02.03.2021;5724;109.28;35.84
4;22;2;2;48193;13.03.2021;4854;255.28;159.42
3;33;7;2;17885;02.03.2021;7330;154.06;90.93
7;5;9;2;30772;23.03.2021;812;81.73;56.67
7;80;10;1;41545;17.03.2021;9993;47.45;31.79
1;21;4;2;56928;22.03.2021;1596;205.70;117.11
7;140;4;2;90676;02.03.2021;9377;205.70;117.11
7;5;8;2;28575;15.03.2021;9122;651.21;524.96
5;90;2;2;33442;24.03.2021;3648;255.28;159.42
5;3;6;1;50127;03.03.2021;7804;9.33;6.92
6;60;12;2;30509;26.03.2021;3469;109.28;35.84
4;14;10;1;68499;10.03.2021;4555;47.45;31.79
7;55;5;2;85040;16.03.2021;2003;437.20;263.33
1;172;9;2;53105;11.03.2021;8789;81.73;56.67
1;77;1;2;42699;29.03.2021;4916;668.27;502.54
2;126;6;1;85858;20.03.2021;2421;9.33;6.92
7;103;9;1;41649;30.03.2021;371;81.73;56.67
4;57;3;1;91172;26.03.2021;9865;421.89;364.69
7;58;2;2;62557;04.03.2021;9032;255.28;159.42
1;127;12;2;15963;19.03.2021;8034;109.28;35.84
7;99;9;1;18584;03.03.2021;4063;81.73;56.67
5;150;4;2;99643;30.03.2021;6343;205.70;117.11
1;162;10;1;25395;25.03.2021;1129;47.45;31.79
1;98;3;2;64127;11.03.2021;6706;421.89;364.69
1;172;7;2;41155;20.03.2021;8393;154.06;90.93
5;71;9;2;13829;06.03.2021;3537;81.73;56.67
4;159;12;2;46528;22.03.2021;6519;109.28;35.84
4;38;11;1;75663;14.03.2021;3750;152.58;97.44
5;78;2;1;44677;09.03.2021;8672;255.28;159.42
3;33;6;2;39043;25.03.2021;6758;9.33;6.92
4;53;1;2;61266;13.03.2021;515;668.27;502.54
5;141;10;2;75883;19.03.2021;4477;47.45;31.79
4;86;10;2;54460;02.03.2021;213;47.45;31.79
7;140;7;2;20597;21.03.2021;1320;154.06;90.93
1;31;11;2;94923;15.03.2021;8430;152.58;97.44
5;123;10;1;90099;23.03.2021;4202;47.45;31.79
5;3;6;2;95818;25.03.2021;8329;9.33;6.92
4;91;10;1;73804;12.03.2021;2535;47.45;31.79
2;116;9;2;82811;24.03.2021;5575;81.73;56.67
7;26;5;1;53625;29.03.2021;8235;437.20;263.33
7;145;5;2;14064;12.03.2021;8332;437.20;263.33
3;135;7;2;43976;12.03.2021;5715;154.06;90.93
3;6;2;2;50242;24.03.2021;7264;255.28;159.42
1;79;11;2;81772;04.03.2021;1890;152.58;97.44
2;101;10;2;14509;13.03.2021;5535;47.45;31.79
2;124;12;1;46426;28.03.2021;6173;109.28;35.84
5;109;7;1;22529;19.03.2021;8809;154.06;90.93
7;28;4;2;19853;19.03.2021;479;205.70;117.11
7;89;1;2;32466;04.03.2021;5250;668.27;502.54
7;88;3;1;16467;12.03.2021;9221;421.89;364.69
4;54;10;1;24985;26.03.2021;5523;47.45;31.79
1;77;6;1;73181;08.03.2021;9315;9.33;6.92
7;102;12;1;93248;13.03.2021;2790;109.28;35.84
4;159;9;1;69410;28.03.2021;173;81.73;56.67
4;59;11;2;82921;27.03.2021;2717;152.58;97.44
4;148;8;1;87068;13.03.2021;3709;651.21;524.96
4;94;7;1;42168;16.03.2021;3467;154.06;90.93
6;104;8;2;50569;08.03.2021;4339;651.21;524.96
7;5;8;1;41651;12.03.2021;5705;651.21;524.96
4;129;10;2;86826;18.03.2021;8976;47.45;31.79
1;21;1;2;84536;08.03.2021;2594;668.27;502.54
4;14;4;1;75255;22.03.2021;7033;205.70;117.11
3;137;12;2;16487;05.03.2021;9799;109.28;35.84
4;53;10;2;97769;29.03.2021;426;47.45;31.79
1;12;10;1;65668;08.03.2021;5483;47.45;31.79
5;10;10;1;78782;20.03.2021;3568;47.45;31.79
7;48;5;1;32742;03.03.2021;311;437.20;263.33
6;178;9;1;55208;17.03.2021;3373;81.73;56.67
7;89;7;2;10874;26.03.2021;7447;154.06;90.93
3;165;4;2;86462;27.03.2021;9255;205.70;117.11
4;40;11;2;25727;10.03.2021;2554;152.58;97.44
4;147;6;1;74456;07.03.2021;3129;9.33;6.92
7;89;4;1;35467;23.03.2021;3797;205.70;117.11
7;157;12;1;33606;20.03.2021;9408;109.28;35.84
7;118;2;1;20756;01.03.2021;1841;255.28;159.42
3;13;4;2;90826;10.03.2021;5007;205.70;117.11
4;91;8;2;74759;10.03.2021;9848;651.21;524.96
3;165;6;2;35529;21.03.2021;9339;9.33;6.92
3;169;11;1;43141;26.03.2021;3483;152.58;97.44
5;72;6;1;39630;05.03.2021;4318;9.33;6.92
1;69;9;1;64064;24.03.2021;911;81.73;56.67
2;149;1;2;27542;14.03.2021;4360;668.27;502.54
5;83;1;2;28194;08.03.2021;2794;668.27;502.54
7;50;2;2;36180;06.03.2021;6377;255.28;159.42
1;111;12;2;28694;08.03.2021;2298;109.28;35.84
6;178;8;2;34958;23.03.2021;9783;651.21;524.96
7;151;9;1;91228;16.03.2021;5086;81.73;56.67
7;20;1;1;15790;02.03.2021;6494;668.27;502.54
2;138;6;1;83961;01.03.2021;9323;9.33;6.92
7;23;3;1;83090;20.03.2021;922;421.89;364.69
1;98;11;1;77556;12.03.2021;5672;152.58;97.44
4;57;6;2;93771;03.03.2021;9983;9.33;6.92
1;127;4;2;75178;12.03.2021;7297;205.70;117.11
7;63;6;2;17249;14.03.2021;3089;9.33;6.92
5;123;1;2;12490;23.03.2021;9863;668.27;502.54
5;109;5;2;25436;02.03.2021;2156;437.20;263.33
7;151;1;1;27656;12.03.2021;1534;668.27;502.54
5;141;11;1;42748;30.03.2021;1597;152.58;97.44
7;39;6;1;11342;25.03.2021;2973;9.33;6.92
3;135;9;2;16098;02.03.2021;8325;81.73;56.67
7;29;5;2;56710;01.03.2021;7345;437.20;263.33
4;139;3;1;94900;11.03.2021;1757;421.89;364.69
2;138;10;2;99425;06.03.2021;314;47.45;31.79
1;120;9;2;91069;23.03.2021;3804;81.73;56.67
2;138;11;2;97651;19.03.2021;44;152.58;97.44
7;174;3;1;19018;18.03.2021;8882;421.89;364.69
4;75;11;1;32051;16.03.2021;7199;152.58;97.44
7;134;9;1;95661;26.03.2021;3904;81.73;56.67
1;162;12;1;85791;15.03.2021;4942;109.28;35.84
2;8;2;1;20413;26.03.2021;8285;255.28;159.42
4;59;5;2;14534;06.03.2021;8939;437.20;263.33
4;106;1;2;55188;20.03.2021;3939;668.27;502.54
6;27;6;2;46444;25.03.2021;7353;9.33;6.92
2;81;6;1;34399;22.03.2021;5279;9.33;6.92
4;22;5;2;72185;11.03.2021;848;437.20;263.33
5;123;5;1;84961;09.03.2021;9220;437.20;263.33
3;76;9;2;94921;24.03.2021;2588;81.73;56.67
4;56;3;2;86288;20.03.2021;5175;421.89;364.69
3;136;2;1;50317;09.03.2021;8237;255.28;159.42
3;66;5;2;30293;18.03.2021;5060;437.20;263.33
